Expert_review_group	PMID	Citation	Gene	Data_source	Assay_class_summary	Number_var_total	MAVE_DB	PS3_evidence_weighting_Path	BS3_evidence_weighting_ben
ClinGen PTEN Expert Panel	19457929	"Lobo GP, Waite KA, Planchon SM, Romigh T, Nassif NT, Eng C. Germline and somatic cancer-associated mutations in the ATP-binding motifs of PTEN influence its subcellular localization and tumor suppressive function. Hum Mol Genet. 2009 Aug 1;18(15):2851-62. doi: 10.1093/hmg/ddp220. Epub 2009 May 20. PMID: 19457929; PMCID: PMC2706686."	PTEN	PS3/BS3 code text	Subcellular localization assay 	3	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	22962422	"He X, Saji M, Radhakrishnan D, Romigh T, Ngeow J, Yu Q, Wang Y, Ringel MD, Eng C. PTEN lipid phosphatase activity and proper subcellular localization are necessary and sufficient for down-regulating AKT phosphorylation in the nucleus in Cowden syndrome. J Clin Endocrinol Metab. 2012 Nov;97(11):E2179-87. doi: 10.1210/jc.2012-1991. Epub 2012 Sep 7. PMID: 22962422; PMCID: PMC3485596."	PTEN	PS3/BS3 code text	Subcellular localization assay 	22	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	25875300	"Gil A, Rodríguez-Escudero I, Stumpf M, Molina M, Cid VJ, Pulido R. A functional dissection of PTEN N-terminus: implications in PTEN subcellular targeting and tumor suppressor activity. PLoS One. 2015 Apr 15;10(4):e0119287. doi: 10.1371/journal.pone.0119287. PMID: 25875300; PMCID: PMC4398541."	PTEN	PS3/BS3 code text	Subcellular localization assay 	8	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	26504226	"Costa HA, Leitner MG, Sos ML, Mavrantoni A, Rychkova A, Johnson JR, Newton BW, Yee MC, De La Vega FM, Ford JM, Krogan NJ, Shokat KM, Oliver D, Halaszovich CR, Bustamante CD. Discovery and functional characterization of a neomorphic PTEN mutation. Proc Natl Acad Sci U S A. 2015 Nov 10;112(45):13976-81. doi: 10.1073/pnas.1422504112. Epub 2015 Oct 26. PMID: 26504226; PMCID: PMC4653168."	PTEN	PS3/BS3 code text	Wound healing assay	NA	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	29056325	"Malek M, Kielkowska A, Chessa T, Anderson KE, Barneda D, Pir P, Nakanishi H, Eguchi S, Koizumi A, Sasaki J, Juvin V, Kiselev VY, Niewczas I, Gray A, Valayer A, Spensberger D, Imbert M, Felisbino S, Habuchi T, Beinke S, Cosulich S, Le Novère N, Sasaki T, Clark J, Hawkins PT, Stephens LR. PTEN Regulates PI(3,4)P2 Signaling Downstream of Class I PI3K. Mol Cell. 2017 Nov 2;68(3):566-580.e10. doi: 10.1016/j.molcel.2017.09.024. Epub 2017 Oct 19. PMID: 29056325; PMCID: PMC5678281."	PTEN	PS3/BS3 code text	Invadopodia formation assay	2	No	moderate and supporting	supporting
ClinGen TP53 Expert Panel	12826609	"Kato S, Han SY, Liu W, Otsuka K, Shibata H, Kanamaru R, Ishioka C. Understanding the function-structure and function-mutation relationships of p53 tumor suppressor protein by high-resolution missense mutation analysis. Proc Natl Acad Sci U S A. 2003 Jul 8;100(14):8424-9. doi: 10.1073/pnas.1431692100. Epub 2003 Jun 25. PMID: 12826609; PMCID: PMC166245."	TP53	PS3/BS3 code text 	Transactivation assay	2314	No	moderate and supporting	strong and supporting
ClinGen TP53 Expert Panel	30224644	"Giacomelli AO, Yang X, Lintner RE, McFarland JM, Duby M, Kim J, Howard TP, Takeda DY, Ly SH, Kim E, Gannon HS, Hurhula B, Sharpe T, Goodale A, Fritchman B, Steelman S, Vazquez F, Tsherniak A, Aguirre AJ, Doench JG, Piccioni F, Roberts CWM, Meyerson M, Getz G, Johannessen CM, Root DE, Hahn WC. Mutational processes shape the landscape of TP53 mutations in human cancer. Nat Genet. 2018 Oct;50(10):1381-1387. doi: 10.1038/s41588-018-0204-y. Epub 2018 Sep 17. PMID: 30224644; PMCID: PMC6168352."	TP53	PS3/BS3 code text 	"Protein expression, cell viability, and luciferase competition assays"	8258	Yes	moderate	strong and supporting
ClinGen TP53 Expert Panel	29979965	"Kotler E, Shani O, Goldfeld G, Lotan-Pompan M, Tarcic O, Gershoni A, Hopf TA, Marks DS, Oren M, Segal E. A Systematic p53 Mutation Library Links Differential Functional Impact to Cancer Mutation Pattern and Evolutionary Conservation. Mol Cell. 2018 Jul 5;71(1):178-190.e8. doi: 10.1016/j.molcel.2018.06.012. Erratum in: Mol Cell. 2018 Sep 6;71(5):873. PMID: 29979965."	TP53	PS3/BS3 code text 	Cell proliferation assay - Massively Parallel experimental system to quantify the anti-proliferative functional capacity of TP53 variants 	9833	Yes	moderate and supporting	strong and supporting
ClinGen Coagulation Factor Deficiency Expert Panel	32766856	"Gao W, Xu Y, Liu H, Gao M, Cao Q, Wang Y, Cui L, Huang R, Shen Y, Li S, Yang H, Chen Y, Li C, Yu H, Li W, Shen G. Characterization of missense mutations in the signal peptide and propeptide of FIX in hemophilia B by a cell-based assay. Blood Adv. 2020 Aug 11;4(15):3659-3667. doi: 10.1182/bloodadvances.2020002520. PMID: 32766856; PMCID: PMC7422117."	F9	F9 Functional Assays: List of approved function assays for F9 variants. 	"Cell-based reporter assay that measures secreted conformation-specific reporter levels and secreted total reporter levels, which corresponds to the FIX protein levels in patients"	28	No	supporting	supporting
ClinGen Thrombosis Expert Panel	23809926	"Maruyama K, Morishita E, Karato M, Kadono T, Sekiya A, Goto Y, Sato T, Nomoto H, Omi W, Tsuzura S, Imai H, Asakura H, Ohtake S, Nakao S. Antithrombin deficiency in three Japanese families: one novel and two reported point mutations in the antithrombin gene. Thromb Res. 2013 Aug;132(2):e118-23. doi: 10.1016/j.thromres.2013.06.001. Epub 2013 Jun 25. PMID: 23809926."	SERPINC1	SERPINC1 functional assay list	AT activity measurement by FXa inhibiton activity assay and thrombin inhibition-based activity assay	3	No	supporting	none
ClinGen Thrombosis Expert Panel	27098529	"Navarro-Fernández J, de la Morena-Barrio ME, Padilla J, Miñano A, Bohdan N, Águila S, Martínez-Martínez I, Sevivas TS, de Cos C, Fernández-Mosteirín N, Llamas P, Asenjo S, Medina P, Souto JC, Overvad K, Kristensen SR, Corral J, Vicente V. Antithrombin Dublin (p.Val30Glu): a relatively common variant with moderate thrombosis risk of causing transient antithrombin deficiency. Thromb Haemost. 2016 Jul 4;116(1):146-54. doi: 10.1160/TH15-11-0871. Epub 2016 Apr 21. PMID: 27098529."	SERPINC1	SERPINC1 functional assay list	AT activity measurement by FXa inhibiton activity assay using chromogenic methods	NA	No	supporting	none
ClinGen Thrombosis Expert Panel	30237862	"Navarro-Fernández J, Eugenia de la Morena-Barrio M, Martínez-Alonso E, Dybedal I, Toderici M, Bohdan N, Miñano A, Heimdal K, Abildgaard U, Martínez-Menárguez JÁ, Corral J, Vicente V. Biochemical and cellular consequences of the antithrombin p.Met1? mutation identified in a severe thrombophilic family. Oncotarget. 2018 Sep 4;9(69):33202-33214. doi: 10.18632/oncotarget.26059. PMID: 30237862; PMCID: PMC6145704."	SERPINC1	SERPINC1 functional assay list	Anti-FXa activity of antithrombin 	NA	No	supporting	none
ClinGen Thrombosis Expert Panel	23809926	"Maruyama K, Morishita E, Karato M, Kadono T, Sekiya A, Goto Y, Sato T, Nomoto H, Omi W, Tsuzura S, Imai H, Asakura H, Ohtake S, Nakao S. Antithrombin deficiency in three Japanese families: one novel and two reported point mutations in the antithrombin gene. Thromb Res. 2013 Aug;132(2):e118-23. doi: 10.1016/j.thromres.2013.06.001. Epub 2013 Jun 25. PMID: 23809926."	SERPINC1	SERPINC1 functional assay list	AT antigen measurement by ELISA	3	No	supporting	none
ClinGen Thrombosis Expert Panel	23117546	"Deng H, Chen J, Xie H, Gu Y, Yuan K, Wang P, Shen W, Liang W, Zhang H, Zhang J, Xie J, Zhang L. Rare double heterozygous mutations in antithrombin underlie hereditary thrombophilia in a Chinese family. J Thromb Thrombolysis. 2013 Oct;36(3):300-6. doi: 10.1007/s11239-012-0822-7. PMID: 23117546."	SERPINC1	SERPINC1 functional assay list	AT antigen measurement by ELISA	2	No	supporting	none
ClinGen Monogenic Diabetes Expert Panel	37101203	"Gersing S, Cagiada M, Gebbia M, Gjesing AP, Coté AG, Seesankar G, Li R, Tabet D, Weile J, Stein A, Gloyn AL, Hansen T, Roth FP, Lindorff-Larsen K, Hartmann-Petersen R. A comprehensive map of human glucokinase variant activity. Genome Biol. 2023 Apr 26;24(1):97. doi: 10.1186/s13059-023-02935-8. PMID: 37101203; PMCID: PMC10131484."	GCK	BS3 code text  	Multiplexed yeast complementation assay to measure both hyper- and hypoactive GCK variation	9003	No	moderate and supporting	supporting
ClinGen Monogenic Diabetes Expert Panel	15677479	"Gloyn AL, Odili S, Zelent D, Buettger C, Castleden HA, Steele AM, Stride A, Shiota C, Magnuson MA, Lorini R, d'Annunzio G, Stanley CA, Kwagh J, van Schaftingen E, Veiga-da-Cunha M, Barbetti F, Dunten P, Han Y, Grimsby J, Taub R, Ellard S, Hattersley AT, Matschinsky FM. Insights into the structure and regulation of glucokinase from a novel mutation (V62M), which causes maturity-onset diabetes of the young. J Biol Chem. 2005 Apr 8;280(14):14105-13. doi: 10.1074/jbc.M413146200. Epub 2005 Jan 25. PMID: 15677479."	GCK	BS3 code text  	Enzymatic activity assay 	40	No	moderate and supporting	supporting
ClinGen Monogenic Diabetes Expert Panel	25015100	"Raimondo A, Chakera AJ, Thomsen SK, Colclough K, Barrett A, De Franco E, Chatelas A, Demirbilek H, Akcay T, Alawneh H; International NDM Consortium; Flanagan SE, Van De Bunt M, Hattersley AT, Gloyn AL, Ellard S; International NDM Consortium. Phenotypic severity of homozygous GCK mutations causing neonatal or childhood-onset diabetes is primarily mediated through effects on protein stability. Hum Mol Genet. 2014 Dec 15;23(24):6432-40. doi: 10.1093/hmg/ddu360. Epub 2014 Jul 11. PMID: 25015100; PMCID: PMC4240195."	GCK	BS3 code text  	Recombinant mutant GCK proteins were analyzed for kinetic and thermostability characteristics and assigned a relative activity index (RAI) or relative stability index (RSI) value	21	No	moderate and supporting	supporting
ClinGen Monogenic Diabetes Expert Panel	22611063	"Beer NL, Osbak KK, van de Bunt M, Tribble ND, Steele AM, Wensley KJ, Edghill EL, Colcough K, Barrett A, Valentínová L, Rundle JK, Raimondo A, Grimsby J, Ellard S, Gloyn AL. Insights into the pathogenicity of rare missense GCK variants from the identification and functional characterization of compound heterozygous and double mutations inherited in cis. Diabetes Care. 2012 Jul;35(7):1482-4. doi: 10.2337/dc11-2420. Epub 2012 May 18. PMID: 22611063; PMCID: PMC3379612."	GCK	BS3 code text  	Enzyme assay	NA	No	moderate and supporting	supporting
ClinGen InSiGHT Hereditary Colorectal Cancer/Polyposis Expert Panel	33011440	"Rofes P, Menéndez M, González S, Tornero E, Gómez C, Vargas-Parra G, Montes E, Salinas M, Solanes A, Brunet J, Teulé A, Capellá G, Feliubadaló L, Del Valle J, Pineda M, Lázaro C. Improving Genetic Testing in Hereditary Cancer by RNA Analysis: Tools to Prioritize Splicing Studies and Challenges in Applying American College of Medical Genetics and Genomics Guidelines. J Mol Diagn. 2020 Dec;22(12):1453-1468. doi: 10.1016/j.jmoldx.2020.09.007. Epub 2020 Oct 1. PMID: 33011440."	APC	APC_specifications_supplementary-material_V2	RNA splicing assay	1	No	"strong, moderate and supporting"	strong and supporting
ClinGen InSiGHT Hereditary Colorectal Cancer/Polyposis Expert Panel	15459959	"Aretz S, Uhlhaas S, Sun Y, Pagenstecher C, Mangold E, Caspari R, Möslein G, Schulmann K, Propping P, Friedl W. Familial adenomatous polyposis: aberrant splicing due to missense or silent mutations in the APC gene. Hum Mutat. 2004 Nov;24(5):370-80. doi: 10.1002/humu.20087. PMID: 15459959."	APC	APC_specifications_supplementary-material_V2	Splicing evaluation via transcript analysis and agarose gel electrophoresis	6	No	"very strong, strong, moderate and supporting "	strong and supporting
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	23867111	"Bouwman P, van der Gulden H, van der Heijden I, Drost R, Klijn CN, Prasetyanti P, Pieterse M, Wientjens E, Seibler J, Hogervorst FB, Jonkers J. A high-throughput functional complementation assay for classification of BRCA1 missense variants. Cancer Discov. 2013 Oct;3(10):1142-55. doi: 10.1158/2159-8290.CD-13-0094. Epub 2013 Jul 18. PMID: 23867111."	BRCA1	Specifications_Table9_V1.1_2023-11-22	Cisplatin sensitivity assay	74	No	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	32546644	"Bouwman P, van der Heijden I, van der Gulden H, de Bruijn R, Braspenning ME, Moghadasi S, Wessels LFA; Dutch-Belgian VUS workgroup; Vreeswijk MPG, Jonkers J. Functional Categorization of BRCA1 Variants of Uncertain Clinical Significance in Homologous Recombination Repair Complementation Assays. Clin Cancer Res. 2020 Sep 1;26(17):4559-4568. doi: 10.1158/1078-0432.CCR-20-0255. Epub 2020 Jun 16. Erratum in: Clin Cancer Res. 2022 Oct 14;28(20):4588. PMID: 32546644."	BRCA1	Specifications_Table9_V1.1_2023-11-22:	Cisplatin and olaparib sensitivity assays and a direct repeat GFP (DR-GFP) HRR assay	238	No	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	30765603	"Fernandes VC, Golubeva VA, Di Pietro G, Shields C, Amankwah K, Nepomuceno TC, de Gregoriis G, Abreu RBV, Harro C, Gomes TT, Silva RF, Suarez-Kurtz G, Couch FJ, Iversen ES, Monteiro ANA, Carvalho MA. Impact of amino acid substitutions at secondary structures in the BRCT domains of the tumor suppressor BRCA1: Implications for clinical annotation. J Biol Chem. 2019 Apr 12;294(15):5980-5992. doi: 10.1074/jbc.RA118.005274. Epub 2019 Feb 14. PMID: 30765603; PMCID: PMC6463708."	BRCA1	Specifications_Table9_V1.1_2023-11-22	Transcriptional assay based on a fusion of the GAL4 DNA-binding domain to the BRCA1 C terminus (amino acids 1396-1863)	102	No	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	30209399	"Findlay GM, Daza RM, Martin B, Zhang MD, Leith AP, Gasperini M, Janizek JD, Huang X, Starita LM, Shendure J. Accurate classification of BRCA1 variants with saturation genome editing. Nature. 2018 Oct;562(7726):217-222. doi: 10.1038/s41586-018-0461-z. Epub 2018 Sep 12. PMID: 30209399; PMCID: PMC6181777."	BRCA1	Specifications_Table9_V1.1_2023-11-22	Luminescence-based survival assay	3893	Yes	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	30257991	"Petitalot A, Dardillac E, Jacquet E, Nhiri N, Guirouilh-Barbat J, Julien P, Bouazzaoui I, Bonte D, Feunteun J, Schnell JA, Lafitte P, Aude JC, Noguès C, Rouleau E, Lidereau R, Lopez BS, Zinn-Justin S, Caputo SM; UNICANCER Genetic Group BRCA network. Combining Homologous Recombination and Phosphopeptide-binding Data to Predict the Impact of BRCA1 BRCT Variants on Cancer Risk. Mol Cancer Res. 2019 Jan;17(1):54-69. doi: 10.1158/1541-7786.MCR-17-0357. Epub 2018 Sep 26. PMID: 30257991."	BRCA1	Specifications_Table9_V1.1_2023-11-22	"Combined workflow including HR assay, localization after DNA damage and in vitro (protein stability upon expression in bacteria and binding to a set of 5 phosphopeptides)"	78	No	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	30219179	"Starita LM, Islam MM, Banerjee T, Adamovich AI, Gullingsrud J, Fields S, Shendure J, Parvin JD. A Multiplex Homology-Directed DNA Repair Assay Reveals the Impact of More Than 1,000 BRCA1 Missense Substitution Variants on Protein Function. Am J Hum Genet. 2018 Oct 4;103(4):498-508. doi: 10.1016/j.ajhg.2018.07.016. Epub 2018 Sep 12. PMID: 30219179; PMCID: PMC6174279."	BRCA1	Specifications_Table9_V1.1_2023-11-22	Multiplex HDR reporter assay 	1056	Yes	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	33293522	"Biswas K, Lipton GB, Stauffer S, Sullivan T, Cleveland L, Southon E, Reid S, Magidson V, Iversen ES Jr, Sharan SK. A computational model for classification of BRCA2 variants using mouse embryonic stem cell-based functional assays. NPJ Genom Med. 2020 Dec 8;5(1):52. doi: 10.1038/s41525-020-00158-5. PMID: 33293522; PMCID: PMC7722754."	BRCA2	Specifications_Table9_V1.1_2023-11-22	Mouse embryonic stem cell (mESC)-based assay	88	No	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	29884841	"Hart SN, Hoskin T, Shimelis H, Moore RM, Feng B, Thomas A, Lindor NM, Polley EC, Goldgar DE, Iversen E, Monteiro ANA, Suman VJ, Couch FJ. Comprehensive annotation of BRCA1 and BRCA2 missense variants by functionally validated sequence-based computational prediction models. Genet Med. 2019 Jan;21(1):71-80. doi: 10.1038/s41436-018-0018-4. Epub 2018 Jun 8. PMID: 29884841; PMCID: PMC6287763."	BRCA2	Specifications_Table9_V1.1_2023-11-22	Cell-based homology directed DNA repair activity assay	207	No	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	32444794	"Ikegami M, Kohsaka S, Ueno T, Momozawa Y, Inoue S, Tamura K, Shimomura A, Hosoya N, Kobayashi H, Tanaka S, Mano H. High-throughput functional evaluation of BRCA2 variants of unknown significance. Nat Commun. 2020 May 22;11(1):2573. doi: 10.1038/s41467-020-16141-8. PMID: 32444794; PMCID: PMC7244490."	BRCA2	Specifications_Table9_V1.1_2023-11-22	"The MANO-B method, for high-throughput functional evaluation utilizing BRCA2-deficient cells and poly (ADP-ribose) polymerase (PARP) inhibitors."	186	No	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	29988080	"Mesman RLS, Calléja FMGR, Hendriks G, Morolli B, Misovic B, Devilee P, van Asperen CJ, Vrieling H, Vreeswijk MPG. The functional impact of variants of uncertain significance in BRCA2. Genet Med. 2019 Feb;21(2):293-302. doi: 10.1038/s41436-018-0052-2. Epub 2018 Jul 10. PMID: 29988080; PMCID: PMC6752316."	BRCA2	Specifications_Table9_V1.1_2023-11-22	HDR assays and sensitivity assays with cisplatin and PARP inhibitor treatment	77	No	strong	strong
ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel	33609447	"Richardson ME, Hu C, Lee KY, LaDuca H, Fulk K, Durda KM, Deckman AM, Goldgar DE, Monteiro ANA, Gnanaolivu R, Hart SN, Polley EC, Chao E, Pesaran T, Couch FJ. Strong functional data for pathogenicity or neutrality classify BRCA2 DNA-binding-domain variants of uncertain significance. Am J Hum Genet. 2021 Mar 4;108(3):458-468. doi: 10.1016/j.ajhg.2021.02.005. Epub 2021 Feb 19. PMID: 33609447; PMCID: PMC8008494."	BRCA2	Specifications_Table9_V1.1_2023-11-22	Homology-directed DNA repair (HDR) assay	252	No	strong	strong
ClinGen Severe Combined Immunodeficiency Disease Expert Panel	9758612	"Arredondo-Vega FX, Santisteban I, Daniels S, Toutain S, Hershfield MS. Adenosine deaminase deficiency: genotype-phenotype correlations based on expressed activity of 29 mutant alleles. Am J Hum Genet. 1998 Oct;63(4):1049-59. doi: 10.1086/302054. PMID: 9758612; PMCID: PMC1377486."	ADA	PS3/BS3 code text in Cspecs	Acitivy/expression assay in ADA-deleted Escherichia coli	29	No	moderate and supporting	supporting
ClinGen Severe Combined Immunodeficiency Disease Expert Panel	25917813	"Felgentreff K, Lee YN, Frugoni F, Du L, van der Burg M, Giliani S, Tezcan I, Reisli I, Mejstrikova E, de Villartay JP, Sleckman BP, Manis J, Notarangelo LD. Functional analysis of naturally occurring DCLRE1C mutations and correlation with the clinical phenotype of ARTEMIS deficiency. J Allergy Clin Immunol. 2015 Jul;136(1):140-150.e7. doi: 10.1016/j.jaci.2015.03.005. Epub 2015 Apr 25. PMID: 25917813; PMCID: PMC4494888."	DCLRE1C	PS3 code in Cspecs	Recombination and DNA repair activity 	41	No	moderate with conditions	none
ClinGen Severe Combined Immunodeficiency Disease Expert Panel	15071507	"Pannicke U, Ma Y, Hopfner KP, Niewolik D, Lieber MR, Schwarz K. Functional and biochemical dissection of the structure-specific nuclease ARTEMIS. EMBO J. 2004 May 5;23(9):1987-97. doi: 10.1038/sj.emboj.7600206. Epub 2004 Apr 8. PMID: 15071507; PMCID: PMC404326."	DCLRE1C	PS3 code in Cspecs	V(D)J recombination assay	19	No	moderate with conditions	none
ClinGen Severe Combined Immunodeficiency Disease Expert Panel	15731174	"Ege M, Ma Y, Manfras B, Kalwak K, Lu H, Lieber MR, Schwarz K, Pannicke U. Omenn syndrome due to ARTEMIS mutations. Blood. 2005 Jun 1;105(11):4179-86. doi: 10.1182/blood-2004-12-4861. Epub 2005 Feb 24. PMID: 15731174."	DCLRE1C	PS3 code in Cspecs	V(D)J recombination assay	3	No	moderate with conditions	none
ClinGen Severe Combined Immunodeficiency Disease Expert Panel	25917813	"Felgentreff K, Lee YN, Frugoni F, Du L, van der Burg M, Giliani S, Tezcan I, Reisli I, Mejstrikova E, de Villartay JP, Sleckman BP, Manis J, Notarangelo LD. Functional analysis of naturally occurring DCLRE1C mutations and correlation with the clinical phenotype of ARTEMIS deficiency. J Allergy Clin Immunol. 2015 Jul;136(1):140-150.e7. doi: 10.1016/j.jaci.2015.03.005. Epub 2015 Apr 25. PMID: 25917813; PMCID: PMC4494888."	DCLRE1C	PS3 code in Cspecs	Recombination and DNA repair activity of human DCLRE1C mutations in Dclre1c(-/-) v-abl kinase-transformed pro-B cells retrovirally engineered for quantititative flow cytometry	41	No	moderate with conditions	none
ClinGen Severe Combined Immunodeficiency Disease Expert Panel	26476407	"Volk T, Pannicke U, Reisli I, Bulashevska A, Ritter J, Björkman A, Schäffer AA, Fliegauf M, Sayar EH, Salzer U, Fisch P, Pfeifer D, Di Virgilio M, Cao H, Yang F, Zimmermann K, Keles S, Caliskaner Z, Güner SÜ, Schindler D, Hammarström L, Rizzi M, Hummel M, Pan-Hammarström Q, Schwarz K, Grimbacher B. DCLRE1C (ARTEMIS) mutations causing phenotypes ranging from atypical severe combined immunodeficiency to mere antibody deficiency. Hum Mol Genet. 2015 Dec 20;24(25):7361-72. doi: 10.1093/hmg/ddv437. Epub 2015 Oct 16. PMID: 26476407; PMCID: PMC4664172."	DCLRE1C	PS3 code in Cspecs 	V(D)J recombination assay	NA	No	moderate with conditions	none
